,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Total Cases/1M pop,Death/1M pop,Total tests,Tests/ 1M pop,Population,Region
192,Mayotte,"37,363",,187 ,,"2,964",,"34,212",,"131,091",656,"176,919","620,734","285,016 ",Africa
193,Guinea,"36,459",,440 ,,"35,976",,43,8,"2,643",32,"660,107","47,858","13,793,000 ",Africa
194,Aruba,"35,189",,212 ,,"34,774",,203,,"327,014","1,970","177,885","1,653,099","107,607 ",North America
195,Bahamas,"33,803",+24,798 ,,"32,451",+25,554,,"84,463","1,994","229,817","574,240","400,211 ",North America
196,Mali,"30,960",+10,733 ,,"30,048",+10,179,,"1,451",34,"672,778","31,539","21,331,812 ",Africa
197,Isle of Man,"28,416",,87 ,,"26,794",,"1,535",,"330,930","1,013","150,753","1,755,657","85,867 ",Europe
198,Somalia,"26,518",+19,"1,350 ",,"13,182",,"11,986",,"1,586",81,"400,466","23,958","16,714,995 ",Africa
199,Saint Lucia,"23,978",+180,368 ,,"23,144",+58,466,1,"129,483","1,987","143,281","773,727","185,183 ",North America
200,Timor-Leste,"22,886",,130 ,,"22,730",,26,,"16,766",95,"264,143","193,512","1,364,997 ",Asia
201,Nicaragua,"18,491",,225 ,,"4,225",,"14,041",,"2,731",33,,,"6,770,692 ",North America
202,Gibraltar,"17,996",,102 ,,"16,579",,"1,315",,"534,450","3,029","534,283","15,867,278","33,672 ",Europe
203,Tajikistan,"17,388",,124 ,,"17,264",,0,,"1,750",12,,,"9,934,733 ",Asia
204,San Marino,"16,785",+42,115 ,,"16,398",+26,272,4,"492,763","3,376","152,231","4,469,101","34,063 ",Europe
205,Equatorial Guinea,"15,910",,183 ,,"15,701",,26,5,"10,689",123,"317,211","213,122","1,488,398 ",Africa
206,CAR,"14,649",,113 ,,"6,859",,"7,677",2,"2,938",23,"81,294","16,306","4,985,447 ",Africa
207,Dominica,"12,685",+192,63 ,,"12,323",+175,299,,"175,408",871,"194,894","2,694,996","72,317 ",North America
208,Monaco,"11,972",,54 ,,"11,816",,102,4,"301,122","1,358","54,960","1,382,363","39,758 ",Europe
209,Yemen,"11,819",,"2,149 ",,"9,009",,661,23,381,69,"265,253","8,545","31,043,618 ",Asia
210,Tonga,"10,950",+124,11 ,,"9,985",+280,954,,"101,468",102,"518,262","4,802,457","107,916 ",Australia/Oceania
