,Country,Total Cases,Total Death,Total Recovered,Active Cases,Serious Critical,Tot cases/1M pop,Deaths/1M pop,Total tests,Tests/ 1M pop,region,population,1 Case every X ppl,1 death every X ppl,1 Test every X ppl
82,Haiti,30586.0,835.0,29100.0,651.0,293.0128205128205,2625.0,72.0,132422.0,11367.0,North America,11649630.0,381.0,13952.0,88.0
83,Isle of Man,28416.0,87.0,26794.0,1535.0,293.0128205128205,331061.0,1014.0,150753.0,1756352.0,Europe,85833.0,3.0,987.0,1.0
84,Somalia,26471.0,1350.0,13182.0,11939.0,293.0128205128205,1587.0,81.0,400466.0,24007.0,Africa,16680943.0,630.0,12356.0,42.0
85,Saint Lucia,23045.0,365.0,22616.0,64.0,1.0,124487.0,1972.0,141332.0,763466.0,North America,185119.0,8.0,507.0,1.0
86,Cayman Islands,21121.0,25.0,8553.0,12543.0,1.0,314797.0,373.0,222773.0,3320312.0,North America,67094.0,3.0,2684.0,0.0
87,Nicaragua,18491.0,225.0,4225.0,14041.0,293.0128205128205,2733.0,33.0,32960.59567901235,2131213.886792453,North America,6764664.0,366.0,30065.0,9.40566037735849
88,South Sudan,17362.0,138.0,13514.0,3710.0,1.0,1519.0,12.0,369176.0,32307.0,Africa,11427024.0,658.0,82805.0,31.0
89,Liechtenstein,16865.0,84.0,16432.0,349.0,1.0,440075.0,2192.0,102174.0,2666127.0,Europe,38323.0,2.0,456.0,0.0
90,San Marino,15683.0,114.0,15225.0,344.0,4.0,460479.0,3347.0,147532.0,4331787.0,Europe,34058.0,2.0,299.0,0.0
91,CAR,14649.0,113.0,6859.0,7677.0,2.0,2942.0,23.0,81294.0,16327.0,Africa,4979016.0,340.0,44062.0,61.0
92,Bermuda,12711.0,129.0,12362.0,220.0,293.0128205128205,205450.0,2085.0,848492.0,13714332.0,North America,61869.0,5.0,480.0,0.0
93,Gambia,11990.0,365.0,11591.0,34.0,293.0128205128205,4726.0,144.0,155686.0,61359.0,Africa,2537281.0,212.0,6951.0,16.0
94,Greenland,11971.0,21.0,2761.0,9189.0,4.0,210220.0,369.0,164926.0,2896233.0,North America,56945.0,5.0,2712.0,0.0
95,Monaco,11299.0,54.0,11018.0,227.0,4.0,284345.0,1359.0,54960.0,1383094.0,Europe,39737.0,4.0,736.0,1.0
96,Sint Maarten,9909.0,86.0,9740.0,83.0,10.0,226538.0,1966.0,62056.0,1418715.0,North America,43741.0,4.0,509.0,1.0
